source,title,content,language,collected_at
VNExpress,Nhiều Bộ trưởng được giới thiệu ứng cử đại biểu Quốc hội khóa 16,"Bộ trưởng Lê Hoài Trung, Nguyễn Kim Sơn, Đỗ Thanh Bình được giới thiệu ứng cử đại biểu Quốc hội khóa 16 với tỷ lệ tán thành tuyệt đối từ cử tri nơi công tác.",vi,2026-01-17 20:33:01.486545
VNExpress,"Kết nối hơn 400 trạm giám sát, tiếp nhận thông tin cháy trên toàn quốc","Cục PCCC&CNCH ra mắt Trung tâm Thông tin Chỉ huy kết nối hệ thống truyền tin, báo sự cố cháy của 34 tỉnh thành, với hơn 400 trạm giám sát, tiếp nhận thông tin.",vi,2026-01-17 20:33:01.486572
VNExpress,Mỹ cảnh báo Canada vì nhập xe điện Trung Quốc,"Quan chức Mỹ cho rằng Canada sẽ ""hối hận"" với quyết định cho nhập khẩu tới 49.000 xe điện Trung Quốc, theo thỏa thuận thương mại mới với Bắc Kinh.",vi,2026-01-17 20:33:02.812158
VNExpress,Sếp Unilever: Chúng tôi xem trồng 1 triệu cây xanh là khoản đầu tư chiến lược,"Theo Unilever Việt Nam, trồng 1 triệu cây xanh giúp chống biến đổi khí hậu, vừa là khoản đầu tư bảo vệ chuỗi giá trị và sức bền cho doanh nghiệp.",vi,2026-01-17 20:33:02.812188
VNExpress,Chủ tịch Chứng khoán FPT từ nhiệm,"Do dành phần lớn thời gian sinh sống và làm việc ở nước ngoài, ông Nguyễn Văn Dũng xin từ nhiệm chức Chủ tịch Chứng khoán FPT.",vi,2026-01-17 20:33:02.812217
VNExpress,MB vươn lên dẫn đầu tăng trưởng tài sản trong nhóm Big 5,"Tăng trưởng tín dụng ổn định, tỷ lệ CASA cao và lợi thế chi phí vốn thấp giúp Ngân hàng Quân đội (MB) vươn lên dẫn đầu nhóm Big 5 về tốc độ tăng trưởng tài sản.",vi,2026-01-17 20:33:02.812242
VNExpress,MSB hợp tác Ksher cung cấp giải pháp thanh toán xuyên biên giới,MSB và Công ty TNHH Ksher (Hongkong) ký hợp tác phát triển các giải pháp thanh toán xuyên biên giới và hỗ trợ doanh nghiệp kinh doanh thương mại điện tử quốc tế tại Việt Nam tối ưu dòng tiền.,vi,2026-01-17 20:33:02.812264
VNExpress,Nhà máy Omoda & Jaecoo sắp vận hành tại Việt Nam,"Omoda & Jaecoo tăng tuyển dụng nhân lực, chuẩn bị vận hành nhà máy ôtô Trung Quốc đầu tiên tại Việt Nam.",vi,2026-01-17 20:33:02.812293
VNExpress,Thủ tướng yêu cầu ra mắt Trung tâm tài chính tại TP HCM trước 9/2,Thủ tướng Phạm Minh Chính yêu cầu ra mắt chính thức Trung tâm tài chính quốc tế tại Việt Nam ở TP HCM chậm nhất đến 9/2.,vi,2026-01-17 20:33:02.812335
VNExpress,Hàn Quốc chi 8 triệu USD biến rơm rạ Cần Thơ thành dầu sinh học,"Dự án biến rơm rạ thành dầu sinh học có thể sản xuất 17.400 tấn biodiesel từ vùng trồng 144 km2 một năm, giảm phát thải 51.000 tấn CO2, đang trong giai đoạn báo cáo thí nghiệm.",vi,2026-01-17 20:33:02.812362
VNExpress,Nhà đầu tư cá nhân rót tiền kỷ lục vào bạc,Đà tăng giá của kim loại quý khiến nhà đầu tư nhỏ lẻ đổ hơn 900 triệu USD vào các quỹ ETF bạc chỉ trong một tháng.,vi,2026-01-17 20:33:02.812387
VNExpress,Đề xuất làm kho khí thiên nhiên hóa lỏng gần 4.000 tỷ đồng ở Dung Quất,"Quảng NgãiChủ kho cảng LNG Cái Mép muốn làm cảng, trạm và kho 3.769 tỷ đồng ở Dung Quất, để sản xuất kinh doanh khí và điện, hơi nước.",vi,2026-01-17 20:33:02.812413
VNExpress,Tiền vào chứng khoán giảm sâu,"VN-Index hồi phục sau hai phiên điều chỉnh liên tiếp, nhưng thanh khoản thị trường giảm sâu xuống dưới 35.000 tỷ đồng bởi tâm lý thận trọng.",vi,2026-01-17 20:33:02.812438
VNExpress,Hanoi Metro lãi năm thứ 4 liên tiếp,"Năm 2025, Công ty Hanoi Metro vận hành 2 tuyến đường sắt đô thị tại Thủ đô lãi hơn 22 tỷ đồng.",vi,2026-01-17 20:33:02.812506
VNExpress,Mỹ đạt thỏa thuận thương mại với Đài Loan,"Đài Loan (Trung Quốc) sẽ đầu tư khoảng 250 tỷ USD vào Mỹ, để được giảm thuế từ 20% xuống 15% với nhiều sản phẩm xuất khẩu sang đây.",vi,2026-01-17 20:33:02.812560
VNExpress,Vietinbank muốn thoái hết vốn tại Cảng Sài Gòn,"Sau phiên đấu giá bất thành vào cuối năm ngoái, Vietinbank lên kế hoạch bán gần 20 triệu cổ phiếu đang sở hữu tại Cảng Sài Gòn bằng phương thức khớp lệnh.",vi,2026-01-17 20:33:02.812587
VNExpress,'Không đặt nặng xử phạt hộ kinh doanh giai đoạn đầu kê khai thuế',"Ông Mai Sơn, Phó cục trưởng Cục Thuế, cho biết ngành thuế ưu tiên hỗ trợ, nhắc nhở hộ kinh doanh chuyển từ thuế khoán sang kê khai thay vì kiểm tra và xử phạt trong giai đoạn đầu.",vi,2026-01-17 20:33:02.812614
VNExpress,"'Startup Việt cần thị trường thử nghiệm, không chỉ vốn'","Cục trưởng Khởi nghiệp và Doanh nghiệp công nghệ cho rằng startup không chỉ cần vốn, mà còn cần môi trường thử nghiệm, được hỗ trợ bởi các doanh nghiệp lớn.",vi,2026-01-17 20:33:02.812639
VNExpress,Chủ Thép Pomina bán cổ phiếu để trả nợ sau 9 phiên tăng trần,"Cổ đông lớn nhất của Thép Pomina liên quan Chủ tịch Đỗ Duy Thái muốn bán 7,5 triệu cổ phiếu để trả nợ thay công ty, sau 9 phiên tăng trần.",vi,2026-01-17 20:33:02.812665
VNExpress,DNSE tăng doanh thu 77% năm 2025,"Kết thúc năm 2025, DNSE ghi nhận doanh thu hơn 1.467 tỷ đồng, tăng 77% so với năm trước, lợi nhuận sau thuế đạt 272,5 tỷ đồng, tăng 50%, vượt mục tiêu kinh doanh đặt ra từ đầu năm.",vi,2026-01-17 20:33:02.812689
VNExpress,BIDV hỗ trợ hộ kinh doanh làm quen với các quy định thuế mới,"Trước yêu cầu thuế mới, BIDV đã triển khai nhiều chiến dịch, cử cán bộ nhân viên xuống địa bàn hướng dẫn hộ kinh doanh sử dụng tính năng MyShop Pro để quản lý dòng tiền và tuân thủ quy định thuế.",vi,2026-01-17 20:33:02.812714
VNExpress,Tập đoàn bán dẫn hàng đầu thế giới muốn mở rộng chuỗi cung ứng tại Việt Nam,"ASML - tập đoàn bán dẫn hàng đầu thế giới - muốn mở rộng chuỗi cung ứng, sẵn sàng trở thành một phần của ngành công nghiệp bán dẫn Việt Nam.",vi,2026-01-17 20:33:02.812750
VNExpress,Bà Đặng Huỳnh Ức My: 'Bình đẳng giới là chọn đúng người đúng việc',"Không ưu tiên nam - nữ, bình đẳng giới là ""chọn đúng người đúng việc"", theo bà Đặng Huỳnh Ức My, Chủ tịch AgriS.",vi,2026-01-17 20:33:02.812792
VNExpress,Cựu chủ tịch Eximbank làm sếp Chứng khoán Bảo Minh,Cựu chủ tịch Eximbank Lương Thị Cẩm Tú làm chủ tịch công ty chứng khoán Bảo Minh từ ngày 10/1.,vi,2026-01-17 20:33:02.812817
VNExpress,Mỹ có thể đã bán lô dầu Venezuela đầu tiên,"Ngày 14/1, một quan chức Mỹ cho biết trên CNN rằng nước này đã bán lô dầu Venezuela đầu tiên với giá 500 triệu USD.",vi,2026-01-17 20:33:02.812842
VNExpress,"Shopee, TikTok Shop chiếm 8% thị phần ngành bán lẻ","Năm 2025, doanh số giao dịch trên Shopee, TikTok Shop hơn 400.000 tỷ đồng, xấp xỉ 8% quy mô ngành bán lẻ.",vi,2026-01-17 20:33:02.812867
VNExpress,"Xuất khẩu rau quả sang Trung Quốc cao kỷ lục gần 5,5 tỷ USD","Xuất khẩu rau quả sang Trung Quốc năm 2025 cao kỷ lục, chiếm gần hai phần ba kim ngạch toàn ngành, khẳng định vai trò thị trường dẫn đầu của nông sản Việt Nam.",vi,2026-01-17 20:33:02.812891
VNExpress,VN-Index giảm sâu,"Áp lực xả hàng các mã vốn hóa lớn khiến VN-Index mất gần 30 điểm, thủng hàng loạt mốc quan trọng dù số lượng cổ phiếu tăng điểm chiếm ưu thế.",vi,2026-01-17 20:33:02.812914
VNExpress,10 năm gắn bó của Tóc Tiên - Hoàng Touliver,"Ly hôn sau một thập niên yêu, ca sĩ Tóc Tiên và nhà sản xuất âm nhạc Hoàng Touliver dành cho nhau sự biết ơn, trân trọng quá khứ.",vi,2026-01-17 20:33:04.144238
VNExpress,Gu mặc đời thường của hậu vệ Phạm Minh Phúc,"Minh Phúc - chân sút ghi bàn quyết định giúp Việt Nam vào bán kết U23 châu Á - thường diện hoodie, áo họa tiết khi dạo phố, du lịch.",vi,2026-01-17 20:33:04.144272
VNExpress,Tóc Tiên ly hôn,"Ca sĩ Tóc Tiên, 37 tuổi và nhà sản xuất âm nhạc Hoàng Touliver, 39 tuổi, ly hôn sau 10 năm bên nhau.",vi,2026-01-17 20:33:04.144300
VNExpress,"Sở thích chơi trống, nghe rock của Thủ tướng Nhật",Bà Sanae Takaichi - nữ Thủ tướng đầu tiên của Nhật Bản - từng chơi trống trong ban nhạc heavy metal thời sinh viên và là fan nhóm Black Sabbath.,vi,2026-01-17 20:33:04.144417
VNExpress,Chương trình nghệ thuật về lịch sử phát triển của Đảng,"Hà NộiCa sĩ Đăng Dương, Anh Tú hát những ca khúc về tình cảm của nhân dân với đất nước, trong chương trình nghệ thuật tối 16/1.",vi,2026-01-17 20:33:04.144444
VNExpress,Sao nhí Hollywood gây chú ý với kiểu tạo dáng,"Duke McCloud - bảy tuổi, đóng series ""All Her Fault"" - gây chú ý với khán giả khi diện vest, tạo dáng kiểu ""6 7"" trên TikTok.",vi,2026-01-17 20:33:04.144467
VNExpress,Ngọc Huyền - 'hotgirl sư phạm' thành diễn viên triển vọng,"Nguyễn Hoàng Ngọc Huyền, 29 tuổi, nữ chính ''Cha tôi người ở lại'', nuôi ước mơ làm giáo viên trước khi rẽ hướng đóng phim.",vi,2026-01-17 20:33:04.144490
VNExpress,Những trang phục gây tranh cãi của Lisa,"Váy hở lưng lộ nội y, áo hoodie đánh lừa thị giác của Lisa khiến người khen, kẻ chê về ranh giới của sự táo bạo.",vi,2026-01-17 20:33:04.144513
VNExpress,Hòa Minzy áp lực khi làm concert đầu tay,"Ca sĩ Hòa Minzy cho biết mất ngủ khi chuẩn bị cho concert cá nhân đầu tiên, dự kiến hút gần 8.000 khán giả.",vi,2026-01-17 20:33:04.144536
VNExpress,Gu diện áo dài của Hoa hậu Trương Hồ Phương Nga,"Người đẹp Trương Hồ Phương Nga thường chọn áo dài lụa, đính họa tiết hoa khi dự sự kiện, livestream bán hàng.",vi,2026-01-17 20:33:04.144559
VNExpress,Fan quyên tiền giúp Lý Á Bằng trả nợ,"Khán giả quyên 8,5 triệu nhân dân tệ (hơn 32 tỷ đồng) sau một ngày, giúp tài tử Trung Quốc Lý Á Bằng trả nợ tiền thuê mặt bằng.",vi,2026-01-17 20:33:04.144581
VNExpress,Hậu trường Tả Đại Bân đóng Quan Âm Bồ Tát trong 'Tây du ký',"Diễn viên Trung Quốc Tả Đại Bân từng bị phản đối đóng Quan Âm trong ""Tây du ký"" 1982 vì ""gương mặt già"".",vi,2026-01-17 20:33:04.144622
VNExpress,Phương Anh Đào chọn kỹ kịch bản để tránh gây nhàm chán,"Diễn viên Phương Anh Đào cho biết hai năm mới đóng một phim, chọn kỹ kịch bản để tạo khác biệt, tránh gây nhàm chán cho khán giả.",vi,2026-01-17 20:33:04.144648
VNExpress,Tranh của đại thi hào Tagore lập kỷ lục đấu giá,"Bức tranh ""From Across the Dark"" của đại thi hào Ấn Độ Tagore được bán với giá 1,2 triệu USD, trở thành tác phẩm hội họa đắt nhất của ông.",vi,2026-01-17 20:33:04.144676
VNExpress,Hôn nhân đồng điệu của Jennifer Lawrence,"Jennifer Lawrence học cách sống ngăn nắp vì chồng - giám đốc Cooke Maroney - thích sự trật tự, còn anh chấp nhận vợ thi thoảng trễ giờ.",vi,2026-01-17 20:33:04.144701
VNExpress,Đoàn phim Bollywood ghi hình ở Hạ Long,"Gần 100 người thuộc êkíp phim ""Silaa"" của Ấn Độ ghi hình tại vịnh Hạ Long (Quảng Ninh) và Tam Chúc, Tràng An (Ninh Bình).",vi,2026-01-17 20:33:04.144728
VNExpress,7 kiểu quần hot 2026,"Quần phồng, quần cạp trễ, quần lụa nằm trong nhóm thiết kế được lăng xê mạnh năm nay.",vi,2026-01-17 20:33:04.144754
VNExpress,10 diễn viên tạo doanh thu phòng vé cao nhất Hollywood,"Zoe Saldaña - đóng ""Avatar 3"" - vượt Scarlett Johansson để là diễn viên góp phần mang lại doanh thu phòng vé cao nhất Hollywood với gần 15,5 tỷ USD.",vi,2026-01-17 20:33:04.144800
VNExpress,Giải mã tủ đồ xanh lam của Thủ tướng Nhật Bản,Thủ tướng Nhật Bản Sanae Takaichi thường diện màu xanh lam theo văn hóa truyền thống và cầu may mắn.,vi,2026-01-17 20:33:04.144826
VNExpress,"Sách lý giải chuyện tên đệm 'nam Văn, nữ Thị'","Nhà nghiên cứu Trần Quang Đức lý giải nguồn gốc việc đặt đệm ''Thị'' giữa họ và tên cho phụ nữ Việt, mẹo đặt tên xấu để được khỏe mạnh, trong sách nghiên cứu.",vi,2026-01-17 20:33:04.144852
VNExpress,Ejae - thực tập sinh Kpop bị chối bỏ thành hiện tượng toàn cầu,"Ca sĩ Ejae 10 năm luyện tập vì giấc mơ idol Kpop nhưng không thành, từng nghĩ bản thân không giỏi trước khi tỏa sáng với bản hit ""Golden"".",vi,2026-01-17 20:33:04.144876
VNExpress,'Mưa đỏ' đoạt giải Cánh Diều Vàng,"Hà Nội""Mưa đỏ"" - phim lấy cảm hứng từ cuộc chiến tại thành cổ Quảng Trị - đoạt giải Cánh Diều Vàng ""Phim điện ảnh xuất sắc"".",vi,2026-01-17 20:33:04.144902
VNExpress,Nghệ sĩ hội ngộ trên thảm đỏ giải Cánh Diều,"Hà NộiDiễn viên Thu Hà, vợ chồng Tiến Luật - Thu Trang, Việt Hương - Hoài Phương góp mặt ở lễ trao giải Cánh Diều, tối 15/1.",vi,2026-01-17 20:33:04.144930
VNExpress,"HLV Kim Sang-sik: 'Chúng tôi sẽ cố gắng, dù nhớ phở lắm rồi'","Arab SaudiTrước buổi tập chiều 17/1, HLV Kim Sang-sik cùng các cầu thủ Việt Nam bày tỏ quyết tâm, hướng đến mục tiêu chinh phục đỉnh cao U23 châu Á 2026.",vi,2026-01-17 20:33:05.275283
VNExpress,Trận thắng UAE có thể thay đổi quan niệm về lối đá của Việt Nam,"Việt Nam từng chỉ có thể chơi phòng ngự - phản công, xù xì gai góc trước các đội bóng lớn. Nhưng điều đó có thể được nhìn nhận lại sau khi thầy trò Kim Sang-sik thắng UAE ở tứ kết U23 châu Á 2026.",vi,2026-01-17 20:33:05.275315
VNExpress,Giải U23 châu Á 2026 không có tiền thưởng,"Giải đấu đang diễn ra ở Arab Saudi không có tiền thưởng, như nhiều giải trẻ khác thuộc Liên đoàn bóng đá châu Á (AFC).",vi,2026-01-17 20:33:05.275342
VNExpress,"HLV Thái Lan mừng vì tránh Việt Nam, Indonesia ở vòng bảng ASEAN Cup","HLV Anthony Hudson thừa nhận Thái Lan rơi vào bảng đấu dễ hơn, khi không chung bảng với Việt Nam và Indonesia tại ASEAN Cup 2026.",vi,2026-01-17 20:33:05.275458
VNExpress,Đình Bắc: 'Tôi không thể di chuyển bình thường',"Arab SaudiTiền đạo Nguyễn Đình Bắc phải nén đau thi đấu trong ba trận gần nhất, khi Việt Nam vào bán kết U23 châu Á 2026.",vi,2026-01-17 20:33:05.275483
VNExpress,Arteta: 'Sự ổn định có thể đưa Arsenal tới mùa giải đặc biệt',"AnhHLV Mikel Arteta tin phong độ ổn định trong suốt mùa giải là nền tảng để Arsenal hướng đến khả năng chinh phục danh hiệu, nhất là khi còn nguyên cơ hội trên cả ...",vi,2026-01-17 20:33:05.275508
VNExpress,Guardiola thận trọng vì ít thông tin về Carrick,"AnhTrước trận derby Manchester ở vòng 22 Ngoại hạng Anh, HLV Pep Guardiola thừa nhận không biết Man Utd sẽ vận hành thế nào dưới thời Michael Carrick.",vi,2026-01-17 20:33:05.275531
VNExpress,Carrick phớt lờ chỉ trích từ Roy Keane,"AnhHLV Michael Carrick không bận tâm tới những công kích cá nhân từ cựu đội trưởng Roy Keane, mà chỉ tập trung giúp Man Utd giành kết quả tốt trong trận ra mắt ...",vi,2026-01-17 20:33:05.275556
VNExpress,Tân HLV Real: 'Mọi chuyện trên sân là trách nhiệm của tôi',"Tây Ban NhaHLV Alvaro Arbeloa bảo vệ các cầu thủ và kêu gọi người hâm mộ ủng hộ, trước trận Real Madrid gặp Levante ở vòng 20 La Liga.",vi,2026-01-17 20:33:05.275580
VNExpress,Báo Thái Lan: 'U23 Việt Nam có trái tim sư tử',Truyền thông Thái Lan và Indonesia đều khen ngợi màn trình diễn của Việt Nam trong trận thắng UAE 3-2 ở tứ kết U23 châu Á 2026.,vi,2026-01-17 20:33:05.275620
VNExpress,HLV Kim: 'Trận thắng UAE tái khẳng định Việt Nam vươn tầm châu Á',"Arab SaudiHLV Kim Sang-sik hãnh diện khi Việt Nam thắng UAE 3-2 ở tứ kết, và tiếp tục hướng tới mục tiêu vào chung kết U23 châu Á 2026.",vi,2026-01-17 20:33:05.275647
VNExpress,HLV của UAE: 'Chúng tôi về nước trong thanh thản',"Arab SaudiHLV Marcelo Broli không cảm thấy hối tiếc sau khi UAE thua Việt Nam 2-3 ở tứ kết U23 châu Á 2026, tối 16/1.",vi,2026-01-17 20:33:05.275673
VNExpress,U23 Việt Nam thắng trận chính thức thứ 15 liên tiếp,"Arab SaudiHLV Kim Sang-sik giúp U23 Việt Nam nối dài mạch thắng kỷ lục lên 15 trận chính thức, sau khi hạ UAE ở tứ kết U23 châu Á 2026.",vi,2026-01-17 20:33:05.275699
VNExpress,Hậu vệ Việt Nam phá dớp 'chiếc áo số 21' ở U23 châu Á,"Arab SaudiTrước Phạm Minh Phúc - tác giả bàn ấn định 3-2 trước UAE ở tứ kết tối 16/1, đã có ba cầu thủ mang áo số 21 của Việt Nam bị đuổi ở ba giải U23 châu Á gần nhất.",vi,2026-01-17 20:33:05.275728
VNExpress,Hệ thống giải golf quốc gia năm 2026,"Năm nay, Hiệp hội golf Việt Nam (VGA) sẽ tổ chức tổng cộng 23 giải đấu trên ba cấp độ chuyên môn cho nam và nữ, với lịch trình từ tháng 3 đến tháng 12.",vi,2026-01-17 20:33:05.275754
VNExpress,Vietravel đưa người hâm mộ Việt đến World Cup 2026,"Vietravel trở thành đại lý tại Việt Nam của On Location - đơn vị cung cấp dịch vụ tiếp đón của FIFA, đưa người hâm mộ theo dõi các trận đấu với nhiều trải ...",vi,2026-01-17 20:33:05.275795
VNExpress,Man City mua được tuyển thủ Anh với 'giá hời',"Man City đạt thỏa thuận tuyển mộ Marc Guehi với giá 27 triệu USD, 6 tháng trước khi trung vệ tuyển Anh hết hạn hợp đồng với Crystal Palace.",vi,2026-01-17 20:33:05.275820
VNExpress,Quả đá luân lưu hiếm thấy ở tứ kết U23 châu Á 2026,"Arab SaudiSự chủ quan của thủ môn Jordan khiến bóng đi vào lưới trong loạt luân lưu, nơi Nhật Bản thắng 4-2 tại tứ kết U23 châu Á 2026 tối 16/1.",vi,2026-01-17 20:33:05.275844
VNExpress,"Việt Nam hạ UAE, vào bán kết U23 châu Á","Arab SaudiHòa ở hai hiệp chính, Việt Nam thắng UAE 3-2 sau hai hiệp phụ trận tứ kết U23 châu Á 2026.",vi,2026-01-17 20:33:05.275870
VNExpress,LĐBĐ Malaysia tính thay toàn bộ ban chấp hành để tránh bị FIFA đình chỉ,LĐBĐ Malaysia (FAM) đang tìm mọi cách tái cơ cấu để không bị FIFA đình chỉ hoạt động sau vụ làm giả hồ sơ 7 cầu thủ nhập tịch.,vi,2026-01-17 20:33:05.275896
